a, b, c, c, c, c, c, a, a, a, c, c, c, c, a, a, c, a, a, c, c, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a
a, b, c, c, c, c, c, a, a, a, a, c, c, c, a, a, a, a, a, c, c, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a
a, b, c, c, c, c, c, a, a, a, a, c, c, a, a, a, a, a, c, c, c, c, a, a, a, c, c, a, a, a, a, a, a, c, c, c, a, c, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a
a, b, c, c, c, c, c, a, a, a, c, c, c, a, a, a, a, a, a, c, c, c, c, c, c, c, c, a, a, a, a, a, a, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a
a, b, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, c, c, c, c, c, c, c, a, a, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a
a, b, c, c, c, c, c, c, a, a, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c
a, b, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, a, a, a, a, c, c, c, a, a, c, a, a, c, c, c, c, c, c, c, c, c, c, a, c, a, c, c, a, a, a, c, a, a, j, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c
a, b, c, c, c, a, a, a, a, a, a, a, a, c, c, c, c, a, c, c, c, c, c, c, c, a, a, a, c, c, c, c, a, a, a, c, c, c, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a, a, j, j, j, j, k, k, k, c, c, c, c, c, c, a, a, c, c, c, c, c, c
a, b, c, c, c, a, a, a, a, a, a, a, a, c, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, c, c, c, c, c, c, c, c, c, >, >, >, >, >, >, >, >, >, >, >, >, >, >, >, >, v, c, a, a, a, a, a, a, c, c, c, c, c, c
a, b, c, c, c, c, c, a, a, a, a, c, c, c, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a, c, c, c, c, c, c, >, >, ^, i, i, i, j, j, j, j, j, j, j, r, r, r, k, k, >, v, a, a, a, a, a, a, a, a, c, c, c, c
a, b, c, c, c, c, c, a, a, a, a, a, c, c, c, a, a, a, a, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, a, a, a, a, c, c, c, c, c, >, ^, i, i, i, i, i, i, j, j, j, j, r, r, r, r, r, s, s, k, v, a, a, a, a, a, a, a, a, c, c, c, c
